"col_ID","Target","zn","indus","chas","nox","rm","age","dis","rad","tax","ptratio","b","lstat","medv"
"A1",-0.419366929213216,0.284548269340467,-1.2866362317172,-0.272329067679207,-0.144074854732451,0.413262920453075,-0.119894767215809,0.140074983979563,-0.981871187861867,-0.665949179488734,-1.45755796728961,0.440615894999103,-1.07449897034393,0.159527788524496
"A2",-0.416926669964097,-0.487240187226826,-0.592794378242939,-0.272329067679207,-0.739530360743424,0.194082387437004,0.366803426432621,0.556609049570403,-0.867024488588149,-0.986353380438694,-0.302794499749468,0.440615894999103,-0.491952524918566,-0.101423917273121
"A3",-0.416928995127746,-0.487240187226826,-0.592794378242939,-0.272329067679207,-0.739530360743424,1.28144555123102,-0.26554897115439,0.556609049570403,-0.867024488588149,-0.986353380438694,-0.302794499749468,0.396035074079386,-1.20753241340982,1.32293747687221
"A4",-0.416338403561022,-0.487240187226826,-1.305585694102,-0.272329067679207,-0.834458050107492,1.01529776114008,-0.809087829754462,1.07667113511199,-0.752177789314431,-1.10502160301275,0.112920348564982,0.415751407655674,-1.36017078492753,1.18158863623183
"A5",-0.412074053429642,-0.487240187226826,-1.305585694102,-0.272329067679207,-0.834458050107492,1.2273620430842,-0.510674338758344,1.07667113511199,-0.752177789314431,-1.10502160301275,0.112920348564982,0.440615894999103,-1.02548664921439,1.48603229299572
"A6",-0.416631374180735,-0.487240187226826,-1.305585694102,-0.272329067679207,-0.834458050107492,0.206891639366513,-0.350809968581852,1.07667113511199,-0.752177789314431,-1.10502160301275,0.112920348564982,0.410165113142392,-1.04229087360166,0.670558212378162
"A7",NA,0.0487240187226827,-0.476182302028777,-0.272329067679207,-0.264891913923083,-0.388026950248537,-0.070159185383123,0.838414219473041,-0.522484390766994,-0.576948012558189,-1.50374850599122,0.426376320749562,-0.0312367063009094,0.0399249233672543
"A8",-0.403296560656489,0.0487240187226827,-0.476182302028777,-0.272329067679207,-0.264891913923083,-0.160306915946125,0.977840574662766,1.02362489736658,-0.522484390766994,-0.576948012558189,-1.50374850599122,0.440615894999103,0.90979985938622,0.496590408513084
"A9",-0.395543302470509,0.0487240187226827,-0.476182302028777,-0.272329067679207,-0.264891913923083,-0.930285281931154,1.11638969548239,1.0861216286763,-0.522484390766994,-0.576948012558189,-1.50374850599122,0.328123258427728,2.41937935017599,-0.655946292093058
"A10",-0.400333139586454,0.0487240187226827,-0.476182302028777,-0.272329067679207,-0.264891913923083,-0.399412951963658,0.615481335596052,1.32832020746017,-0.522484390766994,-0.576948012558189,-1.50374850599122,0.328999539920008,0.622727692770355,-0.394994586295441
