"col_ID","Target","Genre","Gross","Budget","Screens","Sequel","Sentiment","Views","Likes","Dislikes","Comments"
"A1",-0.143166887812617,0.637600281194145,-0.765519571613462,-0.807172721134233,-1.51176598712706,-0.371476728947087,-0.401545521381707,-0.0958320328630739,-0.281019970436616,-0.204233400625448,-0.333152568975727
"A2",0.665923046981641,-1.05256308715165,1.39403752896024,0.0411971213208182,0.766115894644138,0.662392239568299,-0.115699557008288,-0.693746391484727,-0.32150497948438,-0.496854490121924,-0.459166263507901
"A3",-0.244303129661899,-1.05256308715165,-0.420301664994859,-0.364544977244641,0.462957128410253,-0.371476728947087,-0.401545521381707,-0.755466978067344,-0.430332291723311,-0.518559900606553,-0.498090493596729
"A4",-0.143166887812617,-1.05256308715165,0.426689911600421,1.1477664810448,0.880673585110399,0.662392239568299,-0.401545521381707,-0.722646632530703,-0.357445398827552,-0.439777299588271,-0.346033968861238
"A5",-1.76134675740113,0.637600281194145,-0.571027921653249,-0.816394132465266,0.0703874818124576,0.662392239568299,-0.401545521381707,-0.125751536544657,-0.0197580997093627,-0.0555111436011404,-0.208258996172727
"A6",NA,-0.569659267624277,-0.765296069320939,-0.871722600451465,-0.000163290974690662,-0.371476728947087,-0.401545521381707,-0.802844291580293,-0.437825661007216,-0.540265311091181,-0.51097189348224
"A7",-0.345439371511182,0.637600281194145,-0.286447750499722,-0.143231105299845,0.662734564223366,-0.371476728947087,-0.401545521381707,-0.155137246310072,-0.108845934529119,-0.209056825177588,-0.225620882974938
"A8",NA,-1.05256308715165,-0.700944956310294,-0.512087558541172,-0.971808092429377,-0.371476728947087,-0.115699557008288,-0.412038425628557,-0.365146917258232,-0.387523533606757,-0.345193877564357
"A9",NA,1.12050410072151,-0.473168337106384,-0.364544977244641,0.352590572961051,-0.371476728947087,0.0272234251784208,-0.332333772255695,-0.365042842684845,-0.209056825177588,-0.404280298778332
"A10",-0.345439371511182,0.637600281194145,-0.218958381846711,-0.650408728506669,0.0305716991504037,-0.371476728947087,-0.401545521381707,0.333671675258728,-0.0355080518153477,-0.118215662778957,-0.295628491048368
"A11",0.868195530680206,-1.05256308715165,3.17125757015618,0.203493960747002,0.940047997852058,-0.371476728947087,0.17014640736513,0.0476044663122545,0.0142395942639089,-0.085255595006002,0.36636345089399
"A12",NA,0.637600281194145,-0.594649200681803,-0.327659331920508,-0.312402849745535,-0.371476728947087,-0.401545521381707,-0.707925181545344,-0.40830317368961,-0.470325655085156,-0.491649793653973
"A13",-1.05339306445616,2.32776364953994,0.1826033616387,-0.761065664479067,0.681594671800129,-0.371476728947087,-0.401545521381707,3.39607552506919,0.904666952643462,2.97681509151069,0.718641734719492
"A14",-1.25566554815472,0.637600281194145,0.200600526612837,0.317839461251813,0.633396619103958,-0.371476728947087,-0.401545521381707,-0.616887826188977,-0.26304976076503,0.0224675533251183,-0.0956867623906508
"A15",-2.06475548294898,-0.569659267624277,-0.756286238605763,-0.788729898472167,-1.4977955370702,1.69626120808369,-0.401545521381707,-0.691107348057823,-0.438762332167704,-0.516952092422506,-0.500330737055079
"A16",NA,0.637600281194145,-0.765489538844411,-0.7702870758101,-1.53062609470382,-0.371476728947087,-0.115699557008288,0.045028156971013,-0.199460196425227,-0.347328329005593,-0.382437925059422
"A17",NA,0.637600281194145,-0.764809021043827,-0.788729898472167,-1.52573643718392,-0.371476728947087,-0.401545521381707,-0.51458005958434,-0.355710822604426,-0.428522642299945,-0.460286385237076
"A18",0.463650563283077,-0.569659267624277,-0.601398137547104,-0.751844253148034,-1.52154530216686,-0.371476728947087,-0.401545521381707,-0.41777272007351,-0.176910705524588,-0.356975178109872,-0.319431077793334
